exercise_name,category,videoLink
bench press,chest,https://www.youtube.com/watch?v=4Y2ZdHCOXok&ab_channel=JeremyEthier
incline bench,chest,https://www.youtube.com/watch?v=SrqOu55lrYU&t=27s&ab_channel=ScottHermanFitness
pec fly,chest,https://www.youtube.com/watch?v=eGjt4lk6g34&ab_channel=PureGym
reverse pec fly,back,https://www.youtube.com/watch?v=MOBQn99Z1T4&ab_channel=LukeHoffman
seated rows,back,https://www.youtube.com/watch?v=xQNrFHEMhI4&ab_channel=Bodybuilding.com
lat pull down,back,https://www.youtube.com/watch?v=CAwf7n6Luuc&ab_channel=ScottHermanFitness
pull up,back,https://www.youtube.com/watch?v=eGo4IYlbE5g&ab_channel=Calisthenicmovement
hammer curls,biceps,https://www.youtube.com/watch?v=zC3nLlEvin4&t=23s&ab_channel=ScottHermanFitness
preacher curls,biceps,https://www.youtube.com/watch?v=vngli9UR6Hw&ab_channel=JimStoppani%2CPhD
tricep pushdown,triceps,https://www.youtube.com/watch?v=2-LAMcpzODU&ab_channel=ScottHermanFitness
overhead rope extension,triceps,https://www.youtube.com/watch?v=mRozZKkGIfg&ab_channel=Bodybuilding.com
overhead shoulder press,shoulder,https://www.youtube.com/watch?v=qEwKCR5JCog&ab_channel=ScottHermanFitness
back squat,legs,https://www.youtube.com/watch?v=7v_V6xiA_AA&ab_channel=SquatUniversity
deadlift,back,https://www.youtube.com/watch?v=XxWcirHIwVo&ab_channel=JeremyEthier
lateral raises,shoulder,https://www.youtube.com/watch?v=b_LEX4n9lOs&ab_channel=BuffDudesWorkouts
